id,language_name,extension,program
139,Brainfuck,bf,-[------->+<]>-.-[->+++++<]>++.+++++++..+++.[--->+<]>-----.---[->+++<]>.-[--->+<]>---.+++.------.--------.
140,Brainloller,png,"�PNG

"
141,Broccoli,brocc,"(out ""Hello World"" crlf)
"
142,Brzrk,brzrk,"$""Hello World""
"
143,Burlesque,burlesque,"""Hello World""Q
"
144,Byter,byter,">>>>>>>>>V00V00V
0#00A00V<V00V0VV
-+>>A00VV<<0$0V>
V0AA<00V>V<<<<V0
>>V0V<<<-<000V<0
0AV0VV<<<0000V<0
0A>V+}>>>>>>}<V-
0A{>>>>-000000>V
00A0000>>>>>>>>A
V0A<<<<<<<<<<<<>
V000000000000000
V000000000000000
V000000000000000
V000000000000000
V000000000000000
>>>>>>>>>>>>V000
"
145,C++,cpp,"#include <iostream>

int main()
{
   std::cout << ""Hello World"" << std::endl;
}
"
146,C,c,"#include <stdio.h>

int main() {
	printf(""Hello World\n"");
	return 0;
}
"
147,Caml,ml,"print_endline ""Hello World"";;
"
148,Cardinal,cardinal,"%""Hello World"";x
"
149,Casio Basic,,"""Hello World""
"
150,Cat,cat,"Hello World
"
151,Cbot,txt,"extern void object::New()
{

message(""Hello World"");

}
"
152,Cduce,cduce,"print ""Hello World"";;
"
153,Centura,centura,"! Hello World in Centura

Function: HelloWorld
Description:
Returns
Parameters
Static Variables
Local variables
Actions
 Call SalMessageBox( 'Hello World','Message',MB_Ok)
"
154,Ceylon,ceylon,"shared void hello() {
    print(""Hello World"");
}
"
155,Cgi,c,"#include <stdio.h>

main ()
{
   printf (""Content-type: text/html\n"");
   printf (""\n"");
   printf (""<html>\n"");
   printf (""<head>\n"");
   printf (""<title>Hello World</title>\n"");
   printf (""</head>\n"");
   printf (""\n"");
   printf (""<body>\n"");
   printf (""<h1>Hello World</h1>\n"");
   printf (""</body>\n"");
   printf (""</html>\n"");
}
"
156,Chapel,chpl,"writeln(""Hello World"");
"
157,Cheddar,cheddar,"print ""Hello World""
"
158,Chef,ch,"Hello World Cake with Chocolate sauce.

This prints hello world, while being tastier than Hello World Souffle. The main
chef makes a "" world!"" cake, which he puts in the baking dish. When he gets the
sous chef to make the ""Hello"" chocolate sauce, it gets put into the baking dish
and then the whole thing is printed when he refrigerates the sauce. When
actually cooking, I'm interpreting the chocolate sauce baking dish to be
separate from the cake one and Liquefy to mean either melt or blend depending on
context.

Ingredients.
33 g chocolate chips
100 g butter
54 ml double cream
2 pinches baking powder
114 g sugar
111 ml beaten eggs
119 g flour
32 g cocoa powder
0 g cake mixture

Cooking time: 25 minutes.

Pre-heat oven to 180 degrees Celsius.

Method.
Put chocolate chips into the mixing bowl.
Put butter into the mixing bowl.
Put sugar into the mixing bowl.
Put beaten eggs into the mixing bowl.
Put flour into the mixing bowl.
Put baking powder into the mixing bowl.
Put cocoa  powder into the mixing bowl.
Stir the mixing bowl for 1 minute.
Combine double cream into the mixing bowl.
Stir the mixing bowl for 4 minutes.
Liquefy the contents of the mixing bowl.
Pour contents of the mixing bowl into the baking dish.
bake the cake mixture.
Wait until baked.
Serve with chocolate sauce.

chocolate sauce.

Ingredients.
111 g sugar
108 ml hot water
108 ml heated double cream
101 g dark chocolate
72 g milk chocolate

Method.
Clean the mixing bowl.
Put sugar into the mixing bowl.
Put hot water into the mixing bowl.
Put heated double cream into the mixing bowl.
dissolve the sugar.
agitate the sugar until dissolved.
Liquefy the dark chocolate.
Put dark chocolate into the mixing bowl.
Liquefy the milk chocolate.
Put milk chocolate into the mixing bowl.
Liquefy contents of the mixing bowl.
Pour contents of the mixing bowl into the baking dish.
Refrigerate for 1 hour.
"
159,Chicken,chicken,"chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken
chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken

chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken

chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken
chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken

chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken

chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken

chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken
chicken chicken chicken chicken chicken chicken
"
160,Cil,il,"// ilasm cil.il
.assembly HelloWorld {}
.method public static void Main() cil managed
{
     .entrypoint
     .maxstack 1
     ldstr ""Hello World""
     call void [mscorlib]System.Console::WriteLine(string)
     ret
}
"
161,Clean,icl,"module hello
Start :: {#Char}
Start = ""Hello World""
"
162,Clipper,cli,"? ""Hello World"""
163,Clipper,clipper,"? ""Hello World""
"
164,Clipper,prg,"? 'Hello World'
"
165,Clips,clips,"(defrule hw
    (f ?x)
=>
    (printout t ?x crlf))

(assert (f ""Hello World""))

(run)
"
166,Clisp,lisp,"(write-line ""Hello World"")"
167,Clojure,clj,"(println ""Hello World"")
"
168,Cobol,cbl,"       identification division.
       program-id. cobol.
       procedure division.
       main.
           display 'Hello World.' end-display.
           stop run.
"
169,Cobra,cobra,"class Hello

    def main
        print 'Hello World'"
170,Coconut,coc,"""Hello World"" |> print
"
171,Coffeescript,coffee,"alert ""Hello World""
"
172,Coldfusion,cfm,"<cfset message = ""Hello World"">
<cfoutput> #message#</cfoutput>
"
173,Common Lisp,lisp,";; Common Lisp

(defun hello-world ()
  (format t ""Hello World~%""))

(hello-world)
"
174,Concurnas,conc,"System.out.println(""Hello World"")
"
175,Continuesequation,ce,"0 0 o'H'e'l'l'o',' 'w'o'r'l'd'!
"
176,Control Language,cllc,"SNDPGMMSG MSG(""Hello World"")
"
177,Cool,cl,"class Main inherits IO {
   main(): Object {
	out_string(""Hello World.\n"")
   };
};
"
178,Cor,cor,"func main() console.log('Hello World')
"
179,Cow,cow,"MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO
MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO
MoO MoO Moo MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO Moo MoO MoO
MoO MoO MoO MoO MoO Moo Moo MoO MoO MoO Moo OOO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO
MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO Moo MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO
MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO
MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO
MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO Moo MOo
MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo MOo
MOo MOo MOo MOo MOo Moo MOo MOo MOo MOo MOo MOo MOo MOo Moo MoO MoO MoO Moo MOo MOo MOo MOo MOo MOo Moo MOo MOo MOo MOo MOo MOo MOo MOo Moo
OOO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO MoO Moo 
"
180,Crystal,cr,"puts ""Hello World""
"
181,Csh,csh,"#!/bin/csh
echo ""Hello World""
"
182,Csharp,cs,"class HelloWorld {
	static void Main() {
		System.Console.WriteLine(""Hello World"");
	}
}"
183,Cson,cson,"{'hello': 'world'}
"
184,Css,css,"body::before {
    content: ""Hello World"";
}
"
185,Cuda,cu,"#include <stdio.h>

__global__ void hello_world(){
    printf(""Hello World\n"");
}

int main() {
    hello_world<<<1,1>>>();
    return 0;
}
"
186,Cuneiform,cfl,"def greet() -> <out : Str>
in Bash *{
  out=""Hello World""
}*

( greet()|out );
"
187,Curry,curry,"-- ""Hello World"" demo for the Tcl/Tk library

import Tk

main = runWidget ""Hello""
          (TkCol [] [TkLabel [TkText ""Hello World""],
                     TkButton tkExit [TkText ""Stop""]])
"
188,Cypherneo4J,cypher,"CREATE (Hello:Word { val: 'Hello' }), (World:Word { val: 'World!' }),
(Hello)-[:SPACE]->(World)
RETURN Hello,World
"
189,D,d,"// Hello World in D
import std.stdio;

void main()
{
	   writeln(""Hello World"");
}
"
190,Dark,txt,"+helloworld hell
helloworld$twist stalker io
helloworld$twist sign string
io$stalk
io$personal
string$scrawl "" Hello World
string$read ~
io$echo
helloworld$consume io
helloworld$consume string
helloworld$empty
helloworld$apocalypse
"
191,Dart,dart,"main() {
  print('Hello World');
}
"
192,Db2,sql,"VALUES('Hello World')
"
193,Dc,dc,"[Hello World
]n
"
194,Dcl,,"WRITE SYS$OUTPUT ""Hello World""
"
195,Dd Dd,dd,"<!Hello,\ World!\0A;
"
196,Decimal,dec," 13072101108108111044032087111114108100033010D301
 ;13                                               push string
 ;  072                                            'H'
 ;     101                                         'e'
 ;        108                                      'l'
 ;           108                                   'l'
 ;              111                                'o'
 ;                 044                             ','
 ;                    032                          ' '
 ;                       087                       'W'
 ;                          111                    'o'
 ;                             114                 'r'
 ;                                108              'l'
 ;                                   100           'd'
 ;                                      033        '!'
 ;                                         010     '\n'
 ;                                            D    end string
 ;                                             301 print
"
197,Delphi,delphi,"// Hello World in Delphi
Program Hello_World;

($APPTYPE CONSOLE)

Begin
  WriteLn('Hello World');
End.
"
198,Delphi,pas,"program HelloWorld;
{$APPTYPE CONSOLE}

begin
	WriteLn('Hello World');
end."
199,Deno,ts,"console.log(""Hello World"");
"
200,Dis,dis,"^!|||||||||||||||||||||||||||||||||{!!!||||||||||||||||||||||||||||||||||||||||
||||||||||||||||*_>_*>|_*_>_*_>_*_>_*_>_*_>_*_>_*_>_*_>_*_>_*>__*|_>*__|*|||*__
>*>||*>_|*__>*__>*__>*__>*__>*__>*__>*{_>*>_|*>||*__>*>||*>||*__>*__>*__>*>_|*>
||*__>*__>*__>*__>*__>*__>*{__*>||*>_|*__>*__>*>||*>||*__>*>_|*>||*__>*__>*__>*
__>*__>*__>*__>*{{>*>||*>_|*__>*__>*__>*__>*__>*__>*__>*__>*__>*{_>*>_|*>||*__>
*>_|*>||*__>*__>*__>*__>*__>*__>*__>*__>*__>*{_>*>||*>_|*>|>*>||*>_|*__>*__>*__
>*__>*__>*__>*__>*__>*{_>*>|_*>||*>_|*__>*>||*>_|*__>*__>*>_|*>||*__>*__>*__>*_
_>*__>*__>*{__*>||*>_|*__>*>_|*>||*__>*>|_*>||*>_|*__>*__>*__>*__>*__>*__>*__>*
__>*{_>*>|_*>||*>||*__>*__>*__>*__>*__>*__>*__>*__>*__>*{_>*>|_*>||*>_|*__>*__>
*__>*__>*__>*__>*__>*__>*__>*{_>*__|*>__|*>__|*__|*__>*__>*__>*__>*__>*__>*__>*
__>*__>*>_|*>||*{_>*__|*>__|*>__|*{_|*__>*>||*>||*{!
"
201,Divzeros,dz,"(?'H+?'e+?'l+?'l+?'o+?',+?' +?'W+?'o+?'r+?'l+?'d+?'!)/0
"
202,Dna#,dna,"   AT
  T--A
 A----T
 T-----A
 T-----A
 G----C
  T--A
   GC
   CG
  C--G
 A----T
 A-----T
 T-----A
 A----T
  A--T
   GC
   AT
  C--G
 T----A
 C-----G
 T-----A
 G----C
  C--G
   CG
   AT
  A--T
 T----A
 A-----T
 A-----T
 G----C
  A--T
   GC
   TA
  G--C
 T----A
 G-----C
 C-----G
 C----G
  A--T
   GC
   TA
  G--C
 A----T
 G-----C
 A-----T
 C----G
  A--T
   CG
   GC
  A--T
 A----T
 C-----G
 A-----T
 C----G
  A--T
   CG
   GC
  A--T
 T----A
 G-----C
 A-----T
 G----C
  A--T
   CG
   GC
  A--T
 G----C
 A-----T
 A-----T
 T----A
  A--T
   TA
   AT
  T--A
 G----C
 A-----T
 A-----T
 A----T
  G--C
   AT
   AT
  G--C
 T----A
 G-----C
 A-----T
 G----C
  G--C
   AT
   TA
  T--A
 A----T
 G-----C
 G-----C
 A----T
  A--T
   TA
   AT
  T--A
 A----T
 T-----A
 G-----C
 A----T
  T--A
   TA
   AT
  G--C
 A----T
 T-----A
 A-----T
 T----A
  G--C
   AT
   TA
  T--A
 A----T
 G-----C
 G-----C
 A----T
  A--T
   AT
   AT
  T--A
 G----C
 A-----T
"
203,Dna Sharp,dna,"    AT
   T--A
  A----T
  T-----A
  T-----A
  G----C
   T--A
    GC
    CG
   C--G
  A----T
  A-----T
  T-----A
  A----T
   A--T
    GC
    AT
   C--G
  T----A
  C-----G
  T-----A
  G----C
   C--G
    CG
    AT
   A--T
  T----A
  A-----T
  A-----T
  G----C
   A--T
    GC
    TA
   G--C
  T----A
  G-----C
  C-----G
  C----G
   A--T
    GC
    TA
   G--C
  A----T
  G-----C
  A-----T
  C----G
   A--T
    CG
    GC
   A--T
  A----T
  C-----G
  A-----T
  C----G
   A--T
    CG
    GC
   A--T
  T----A
  G-----C
  A-----T
  G----C
   A--T
    CG
    GC
   A--T
  G----C
  A-----T
  A-----T
  T----A
   A--T
    TA
    AT
   T--A
  G----C
  A-----T
  A-----T
  A----T
   G--C
    AT
    AT
   G--C
  T----A
  G-----C
  A-----T
  G----C
   G--C
    AT
    TA
   T--A
  A----T
  G-----C
  G-----C
  A----T
   A--T
    TA
    AT
   T--A
  A----T
  T-----A
  G-----C
  A----T
   T--A
    TA
    AT
   G--C
  A----T
  T-----A
  A-----T
  T----A
   G--C
    AT
    TA
   T--A
  A----T
  G-----C
  G-----C
  A----T
   A--T
    AT
    AT
   T--A
  G----C
  A-----T

"
204,Dogescript,djs,"shh such hello dogescript very next-gen wow difficulty

plz console.loge with 'Hello World'
"
205,Dogo,dogo,"roll-over roll-over heel roll-over roll-over roll-over roll-over heel heel heel 
heel heel heel heel heel heel sit roll-over roll-over roll-over heel roll-over 
roll-over roll-over heel heel heel heel heel heel heel heel roll-over roll-over 
heel roll-over roll-over roll-over roll-over roll-over heel roll-over roll-over 
roll-over roll-over roll-over stay roll-over roll-over roll-over heel roll-over 
roll-over heel roll-over roll-over roll-over heel roll-over roll-over roll-over 
roll-over heel heel heel heel heel heel heel sit roll-over roll-over roll-over 
heel roll-over roll-over roll-over heel heel heel heel roll-over roll-over heel 
roll-over roll-over roll-over roll-over roll-over heel roll-over roll-over 
roll-over roll-over roll-over stay roll-over roll-over roll-over heel roll-over  
roll-over roll-over heel roll-over roll-over roll-over roll-over roll-over heel 
roll-over heel heel heel heel heel heel heel roll-over roll-over roll-over 
roll-over roll-over heel heel roll-over heel heel heel roll-over roll-over 
roll-over roll-over roll-over heel roll-over roll-over roll-over heel heel heel 
roll-over roll-over roll-over roll-over heel heel heel heel heel heel heel heel 
sit roll-over roll-over roll-over heel roll-over roll-over roll-over heel heel 
heel heel roll-over roll-over heel roll-over roll-over roll-over roll-over 
roll-over heel roll-over roll-over roll-over roll-over roll-over stay roll-over 
roll-over roll-over heel roll-over roll-over heel roll-over roll-over roll-over 
heel heel heel roll-over roll-over roll-over roll-over heel heel heel heel heel 
heel heel heel heel heel sit roll-over roll-over roll-over heel roll-over 
roll-over roll-over heel heel heel heel heel heel heel heel heel roll-over 
roll-over heel roll-over roll-over roll-over roll-over roll-over heel roll-over 
roll-over roll-over roll-over roll-over stay roll-over roll-over roll-over heel 
roll-over roll-over roll-over roll-over heel heel heel roll-over roll-over 
roll-over roll-over heel roll-over roll-over roll-over roll-over heel heel heel 
heel roll-over roll-over heel roll-over heel heel heel roll-over roll-over 
roll-over roll-over roll-over heel roll-over roll-over heel heel heel heel heel 
heel roll-over roll-over roll-over roll-over heel roll-over roll-over heel heel 
heel heel heel heel heel heel roll-over roll-over roll-over roll-over heel 
roll-over roll-over roll-over heel heel roll-over roll-over roll-over roll-over 
heel roll-over roll-over roll-over roll-over roll-over heel
"
206,Dongbei,dongbei,唠唠：“Hello World”。 
207,Dos,bat,"@echo Hello World
"
208,Draco,d,"proc main()void:
    writeln(""Hello World!"");
corp;
"
209,Dreammaker,dm,"mob
	Login()
		world << ""Hello World""
"
210,Drive In Window,diw,"Hi, welcome to Hello_World_Buffet. Here is a menu.

Rice Krispie Treat: $10
Ice Cream: $30
Cookies: $70

Here are your sides.

Whipped Cream: $1
Chocolate: $2
Caramel: $3

May I take your order?

Person 1 would like the Cookies with Chocolate.
Person 1 will pay for his order!
Person 2 would like the Ice Cream, hold the Whipped Cream.
Person 2 would also like what Person 1 has.
Person 2 will pay for his order!
Person 2 needs 7 dollars more for his order!
Person 2 will pay for his order!
Person 2 will pay for his order!
Person 2 needs 3 dollars more for his order!
Person 2 will pay for his order!
Person 3 would like the Ice Cream with Chocolate.
Person 3 will pay for his order!
Person 1 would also like the Rice Krispie Treat with Caramel.
Person 1 needs 2 more dollars for his order!
Person 1 will pay for his order!
Person 2 will pay for his order!
Person 2 needs 3 dollars more for his order!
Person 2 will pay for his order!
Person 2 needs 6 dollars less for his order!
Person 2 will pay for his order!
Person 2 needs 8 dollars less for his order!
Person 2 will pay for his order!
Person 3 needs 1 dollar more for his order!
Person 3 will pay for his order!
Just wait while we decide...

OK, that will be $1.14. Thanks for coming!
"
211,Dtrace,d,"#!/usr/sbin/dtrace -qs
BEGIN {
	printf(""Hello World"");
	exit(0);
}
"
212,Dup,dup,"[\[^^>][$;,1+]#%%]p:
0$""Hello World""p;!10,
"
213,Dylan,dl,"define method main (#rest args)
  princ(""Hello World"");
end;

main();
"
214,Dyvil,dyv,"class Dyvil
{
	static func main(args: [String]) = print 'Hello World'
}
"
215,Ebuild,ebuild,"# Copyright 1999-2008 Gentoo Foundation
# Distributed under the terms of the GNU General Public License v2
# $Header: $

DESCRIPTION=""Hello World""
HOMEPAGE=""http://hello-world.org/""
SRC_URI=""http://hello-world.org/""

LICENSE=""GPL""
SLOT=""0""
KEYWORDS=""~x86""
IUSE=""""

DEPEND=""""
RDEPEND=""""

src_compile() {
	einfo ""Hello World""
}
"
216,Ec,ec,"class HelloWorldApp : Application
{
   void Main()
   {
      PrintLn(""Hello World"");
   }
}
"
217,Echolisp,echolisp,"(display ""Hello World"" ""color:blue"")
"
218,Efene,efene,"@public
run = fn () {
    io.format(""Hello World~n"")
}
"
219,Egl,egl,"program HelloWorld
    function main()
        SysLib.writeStdout(""Hello World"");
    end
end
"
220,Eiffel,eiff,"indexing ""Hello World in Eiffel , from http://roesler-ac.de/wolfram/hello.htm#Eiffel""

class HELLO

creation
	run

feature

	run is
		local
			io : BASIC_IO;
		do
			!!io;
			io.put_string(""Hello World"");
			io.put_newline
		end; -- run
end; -- class HELLO
"
221,Elena,elena,"public program
[
    console writeLine(""Hello World"").
]
"
222,Elixir,ex," IO.puts ""Defining the function world""
"
223,Elixir,exs,"#!/usr/bin/env elixir
IO.puts ""Hello World""
"
224,Elm,elm,"import Html exposing (text)

main =
  text ""Hello World""
"
225,Emacslisp,el,";;for emacs elisp

(message ""hello,world"")
"
226,Emmental,emmental,";#58#126#63#36!;#46#36#!;#0#1!;#0#2!;#0#3!;#0#4!;#0#5!;#0#6!;#0#7!#0#33#100#108#114#111#119#32#44#111#108#108#101#72$
"
227,Emojicode,emojic,"🐇 🐼 🍇
  🐇🐖 🏁 ➡️ 🚂 🍇
    😀 �Hello World🔤
    🍎 0
  🍉
🍉
"
228,Emoticon,emoticon,"Hello World :Q S::P :P
"
229,Enkelt,e,"skriv(""Hello World"")"
230,Eoool,eoool,",{,{89+(59+~1&(7~+1&2&2&((3~+1&(4~(32_((6~+((8+(38_(},}
"
231,Erlang,erl,"-module(erlang_hw).
-export([start/0]).

start() ->
  io:format(""Hello World~n"")."
232,Erlang Escript,erl,"#!/usr/bin/env escript

main(_) ->
    io:format(""Hello World~n"").
"
233,Euphoria,ex,"puts(1, ""Hello World"")
"
234,Express,js,"const express = require('express')
const app = express()

app.get('/', (_, res) => res.send(""Hello World""))

app.listen(8080)
"
235,Factor,factor,"USING: io ;
""Hello World"" print

"
236,Factors,fact,"1240479476546339573634662660744997483390159825927257577642211238764859751532647897788588745690462747
2954259026932147401271063216759368974236989467343884314431173679900151962232540368081876543214803741
27355669151693462637517323355034011282348481257152244997524115792512161
"
237,Falcon,fal,"#!/usr/bin/env falcon

> ""Hello World""
"
238,False,f,"""Hello World
""
"
239,Fancy,fy,"""Hello World"" println 
"
240,Fantom,fan,"// Hello from Fantom!
class HelloWorld {
  static Void main() {
    echo(""Hello World"")
  }
}
"
241,Fennel,fnl,"(print ""Hello World"")
"
242,Ferite,fe,"uses ""console"";
Console.println( ""Hello World"" );
"
243,Fetlang,fet,"Make slave scream ""Hello World""
"
244,Fim++,fimpp,"Dear Princess Celestia: Hello World

Today I learned how to say Hello World
I said ""Hello World"".
That's all about how to say Hello World.

Your faithful student, Twilight Sparkle. "
245,Fish,fish,"#!/usr/bin/env fish
echo ""Hello World""
"
246,Fjoelnir,fjo,"""hello"" < main
{
    main ->
    stef(;)
    stofn
        skrifastreng(;""Hello World""),
    stofnlok
}
*
""GRUNNUR""
;"
247,Flascript,fls,"main() -> main {
print(string) -> ""Hello World""
print(newline)
}
"
248,Flask,py,"from flask import Flask
app = Flask(__name__)

@app.route(""/"")
def hello():
    return ""Hello World""

if __name__ == ""__main__"":
    app.run()
"
249,Fob,fob, $Hello World#<>
250,Focal,fc,"0.1.0.1 TYPE ""HELLO WORLD"" , !
"
251,Fog.Fog,md,"<ins>Hello World</ins>
"
252,Foo,foo,"""Hello World""
"
253,Forobj,forobj,"""Hello World\n""d
"
254,Forth,fth,".( Hello World)
"
255,Fortob,fortob,"@print[$!.readcom.println;$\.push:'\;]\;
print ""Hello World""\;
"
256,Fortran,f90,"program helloworld
print *,'Hello World'
end program helloworld"
257,Fortran77,f77,"      PROGRAM HELLOW
      WRITE(UNIT=*, FMT=*) 'Hello World'
      END
"
258,Fourier,fourier,"72a101a108aa111a44a32a119a111a114a108a100a33a10a
"
259,Fractran++,fpp,"3,-1/2,(2*37)/3,0/0,<71 101 108 108 111 32 87 111 114 108 100 0>/37,4/0
"
260,Freebrain,frbr,"!->:>_^>~++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++<^_<:
!->:>_^>~+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++<^_<:
!->:>_^>~++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++<^_<:
!->:>_^>~++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++<^_<:
!->:>_^>~+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++<^_<:
!->:>_^>~++++++++++++++++++++++++++++++++<^_<:
!->:>_^>~+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++<^_<:
!->:>_^>~+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++<^_<:
!->:>_^>~++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++<^_<:
!->:>_^>~++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++<^_<:
!->:>_^>~++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++<^_<:
!->:>_^>~+++++++++++++++++++++++++++++++++<^_<:
[!->:>_^> ? <^_<:] ?* (~++++++++++++++++++++++++++++++++++++++++++++++++++) *? !->:>_^>(~++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++)<*>(~++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++)<^_<:
"
261,Frink,frink,"println[""Hello World!""]"
262,Fsharp,fs,"printfn ""Hello World""
"
263,Fstar,fst,"module Hello

let main = FStar.IO.print_string ""Hello World\n"""
264,Gaml,gaml,"model GAML

global {
	init {
		write(""Hello World"");
	}
}

experiment GAML {}"
265,Gammaplex,gammaplex,"X""Hello World""XXSXrRE
"
266,Gasoil,gasoil,"main
(""Hello World""; WRITE)
"
