"id","composer","composition","movement","ensemble","source","transcriber","catalog_name","seconds"
2161,"Brahms","Horn Trio in E-flat major","4. Allegro con brio","Horn Piano Trio","European Archive","David Rothschild","OP40",397
2166,"Faure","Piano Quartet No 2 in G minor","1. Allegro molto moderato","Piano Quartet","European Archive","Gregory Richardson","OP45",639
2167,"Faure","Piano Quartet No 2 in G minor","2. Allegro molto","Piano Quartet","European Archive","Gregory Richardson","OP45",193
2168,"Faure","Piano Quartet No 2 in G minor","3. Adagio non troppo","Piano Quartet","European Archive","Gregory Richardson","OP45",612
2169,"Faure","Piano Quartet No 2 in G minor","4. Allegro molto","Piano Quartet","European Archive","Gregory Richardson","OP45",519
2177,"Ravel","String Quartet in F","1. Allegro moderato - tres doux","String Quartet","Musicians from Marlboro","Gregory Richardson","35",490
2178,"Ravel","String Quartet in F","2. Assez vif - tres rythme","String Quartet","Musicians from Marlboro","Gregory Richardson","35",355
2179,"Ravel","String Quartet in F","3. Tres lent","String Quartet","Musicians from Marlboro","Gregory Richardson","35",505
2180,"Ravel","String Quartet in F","4. Vif et agite","String Quartet","Musicians from Marlboro","Gregory Richardson","35",293
2186,"Bach","Violin Partita No 3 in E major","1. Preludio","Solo Violin","Oliver Colbentston","suzumidi","BWV1006",214
2191,"Bach","Violin Partita No 3 in E major","6. Bourree","Solo Violin","Oliver Colbentston","suzumidi","BWV1006",102
2194,"Bach","WTK I, No. 13: Prelude and Fugue in F-sharp major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV858",100
2195,"Bach","WTK I, No. 3: Prelude and Fugue in C-sharp major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV848",155
2196,"Bach","WTK I, No. 3: Prelude and Fugue in C-sharp major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV848",75
2198,"Bach","WTK I, No. 22: Prelude and Fugue in B-flat minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV867",197
2200,"Bach","WTK I, No. 16: Prelude and Fugue in G minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV861",113
2201,"Bach","WTK I, No. 16: Prelude and Fugue in G minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV861",134
2202,"Bach","Partita in A minor","1. Allemande","Solo Flute","Scott Goff","David J. Grossman","BWV1013",181
2203,"Bach","Partita in A minor","2. Corrente","Solo Flute","Scott Goff","David J. Grossman","BWV1013",156
2204,"Bach","Partita in A minor","3. Sarabande","Solo Flute","Scott Goff","David J. Grossman","BWV1013",132
2207,"Bach","WTK I, No. 10: Prelude and Fugue in E minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV855",89
2208,"Bach","WTK I, No. 10: Prelude and Fugue in E minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV855",120
2209,"Bach","WTK I, No. 4: Prelude and Fugue in C-sharp minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV849",160
2210,"Bach","WTK I, No. 4: Prelude and Fugue in C-sharp minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV849",178
2211,"Bach","WTK I, No. 12: Prelude and Fugue in F minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV857",237
2212,"Bach","WTK I, No. 12: Prelude and Fugue in F minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV857",173
2213,"Bach","WTK I, No. 2: Prelude and Fugue in C minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV847",115
2214,"Bach","WTK I, No. 2: Prelude and Fugue in C minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV847",107
2215,"Bach","WTK I, No. 1: Prelude and Fugue in C major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV846",116
2217,"Bach","Cello Suite 3","1. Prelude","Solo Cello","European Archive","David J. Grossman","BWV1009",186
2218,"Bach","Cello Suite 3","2. Allemande","Solo Cello","European Archive","David J. Grossman","BWV1009",199
2219,"Bach","Cello Suite 3","3. Courante","Solo Cello","European Archive","David J. Grossman","BWV1009",260
2220,"Bach","Cello Suite 3","4. Sarabande","Solo Cello","European Archive","David J. Grossman","BWV1009",302
2221,"Bach","Cello Suite 3","5. Bouree","Solo Cello","European Archive","David J. Grossman","BWV1009",241
2222,"Bach","Cello Suite 3","6. Gigue","Solo Cello","European Archive","David J. Grossman","BWV1009",202
2224,"Bach","WTK I, No. 7: Prelude and Fugue in E-flat major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV852",108
2225,"Bach","WTK I, No. 7: Prelude and Fugue in E-flat major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV852",213
2227,"Bach","WTK I, No. 6: Prelude and Fugue in D minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV851",129
2228,"Bach","WTK I, No. 6: Prelude and Fugue in D minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV851",98
2229,"Bach","WTK I, No. 20: Prelude and Fugue in A minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV865",244
2230,"Bach","WTK I, No. 20: Prelude and Fugue in A minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV865",84
2231,"Bach","WTK I, No. 21: Prelude and Fugue in B-flat major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV866",115
2232,"Bach","WTK I, No. 21: Prelude and Fugue in B-flat major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV866",78
2234,"Bach","WTK I, No. 11: Prelude and Fugue in F major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV856",64
2237,"Bach","WTK I, No. 23: Prelude and Fugue in B major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV868",109
2238,"Bach","WTK I, No. 23: Prelude and Fugue in B major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV868",60
2239,"Bach","WTK I, No. 17: Prelude and Fugue in A-flat major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV862",120
2240,"Bach","WTK I, No. 17: Prelude and Fugue in A-flat major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV862",92
2241,"Bach","Violin Sonata No 1 in G minor","1. Adagio","Solo Violin","European Archive","suzumidi","BWV1001",242
2242,"Bach","Violin Sonata No 1 in G minor","2. Fuga","Solo Violin","European Archive","suzumidi","BWV1001",312
2243,"Bach","Violin Sonata No 1 in G minor","3. Siciliana","Solo Violin","European Archive","suzumidi","BWV1001",193
2244,"Bach","Violin Sonata No 1 in G minor","4. Presto","Solo Violin","European Archive","suzumidi","BWV1001",214
2247,"Bach","WTK I, No. 9: Prelude and Fugue in E major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV854",81
2248,"Bach","WTK I, No. 9: Prelude and Fugue in E major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV854",104
2282,"Bach","Violin Sonata in B minor","1. Adagio","Violin and Harpsichord","Paul Pitman","suzumidi","BWV1014",313
2283,"Bach","Violin Sonata in B minor","2. Allegro","Violin and Harpsichord","Paul Pitman","suzumidi","BWV1014",192
2284,"Bach","Violin Sonata in B minor","3. Andante","Violin and Harpsichord","Paul Pitman","suzumidi","BWV1014",227
2285,"Bach","Violin Sonata in B minor","4. Allegro","Violin and Harpsichord","Paul Pitman","suzumidi","BWV1014",225
2288,"Bach","Violin Partita No 1 in B minor","2. Corrente","Solo Violin","John Garner","suzumidi","BWV1002",191
2289,"Bach","Violin Partita No 1 in B minor","3. Sarabande","Solo Violin","John Garner","suzumidi","BWV1002",203
2292,"Bach","WTK I, No. 19: Prelude and Fugue in A major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV864",91
2293,"Bach","Cello Suite 4","1. Prelude","Solo Cello","European Archive","David J. Grossman","BWV1010",310
2294,"Bach","Cello Suite 4","2. Allemande","Solo Cello","European Archive","David J. Grossman","BWV1010",228
2295,"Bach","Cello Suite 4","3. Courante","Solo Cello","European Archive","David J. Grossman","BWV1010",259
2296,"Bach","Cello Suite 4","4. Sarabande","Solo Cello","European Archive","David J. Grossman","BWV1010",291
2297,"Bach","Cello Suite 4","5. Bouree","Solo Cello","European Archive","David J. Grossman","BWV1010",334
2298,"Bach","Cello Suite 4","6. Gigue","Solo Cello","European Archive","David J. Grossman","BWV1010",153
2300,"Bach","WTK I, No. 8: Prelude and Fugue in E-flat minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV853",238
2302,"Bach","WTK I, No. 5: Prelude and Fugue in D major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV850",108
2303,"Bach","WTK I, No. 5: Prelude and Fugue in D major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV850",92
2304,"Bach","WTK I, No. 14: Prelude and Fugue in F-sharp minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV859",196
2305,"Bach","WTK I, No. 14: Prelude and Fugue in F-sharp minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV859",65
2307,"Bach","WTK I, No. 18: Prelude and Fugue in G-sharp minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV863",137
2308,"Bach","WTK I, No. 18: Prelude and Fugue in G-sharp minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV863",121
2310,"Bach","WTK I, No. 15: Prelude and Fugue in G major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV860",55
2313,"Beethoven","String Quartet No 15 in A minor","1. Allegro","String Quartet","European Archive","suzumedia","OP132",593
2314,"Beethoven","String Quartet No 15 in A minor","2. Allegro ma non tanto","String Quartet","European Archive","suzumedia","OP132",568
2315,"Beethoven","String Quartet No 15 in A minor","3. Molto Adagio; Andante","String Quartet","European Archive","suzumedia","OP132",1069
2318,"Beethoven","Trio in E-flat major","1. Allegro moderato","Clarinet-Cello-Piano Trio","Paul Pitman","harfesoft.de","OP38",641
2319,"Beethoven","Trio in E-flat major","2. Scherzo: Allegro ma non troppo","Clarinet-Cello-Piano Trio","Paul Pitman","harfesoft.de","OP38",620
2320,"Beethoven","Trio in E-flat major","3. Rondo: Allegro","Clarinet-Cello-Piano Trio","Paul Pitman","harfesoft.de","OP38",222
2322,"Beethoven","Piano Sonata No 23 in F minor","1. Allegro assai","Solo Piano","Paul Pitman","piano-midi.de","OP57",645
2325,"Beethoven","Piano Sonata No 23 in F minor","1. Allegro assai","Solo Piano","European Archive","piano-midi.de","OP57",551
2330,"Beethoven","Violin Sonata No 1 in D major","1. Allegro con brio","Accompanied Violin","Timothy Jones","Darren L. Slider","OP12NO1",532
2334,"Beethoven","Violin Sonata No 8 in G major","1. Allegro assai","Accompanied Violin","Edward Auer","suzumedia","OP30NO3",409
2335,"Beethoven","Violin Sonata No 8 in G major","2. Tempo di minuetto, ma molto moderato e grazioso","Accompanied Violin","Edward Auer","suzumedia","OP30NO3",422
2336,"Beethoven","Violin Sonata No 8 in G major","3. Allegro vivace","Accompanied Violin","Edward Auer","suzumedia","OP30NO3",197
2341,"Beethoven","Violin Sonata No 8 in G major","2. Tempo di minuetto, ma molto moderato e grazioso","Accompanied Violin","European Archive","suzumedia","OP30NO3",460
2342,"Beethoven","Violin Sonata No 8 in G major","3. Allegro vivace","Accompanied Violin","European Archive","suzumedia","OP30NO3",192
2343,"Beethoven","Piano Sonata No 14 in C-sharp minor","1. Adagio sostenuto","Solo Piano","Stefano Ligoratti","piano-midi.de","OP27NO2",332
2345,"Beethoven","Piano Sonata No 14 in C-sharp minor","3. Presto agitato","Solo Piano","Stefano Ligoratti","piano-midi.de","OP27NO2",443
2346,"Beethoven","Piano Sonata No 14 in C-sharp minor","1. Adagio sostenuto","Solo Piano","Paul Pitman","piano-midi.de","OP27NO2",335
2348,"Beethoven","Piano Sonata No 14 in C-sharp minor","3. Presto agitato","Solo Piano","Paul Pitman","piano-midi.de","OP27NO2",493
2350,"Beethoven","Piano Sonata No 14 in C-sharp minor","1. Adagio sostenuto","Solo Piano","Glen W. Prillaman","piano-midi.de","OP27NO2",276
2357,"Beethoven","Piano Sonata No 15 in D major","2. Andante","Solo Piano","Paul Pitman","piano-midi.de","OP28",357
2358,"Beethoven","Piano Sonata No 15 in D major","3. Scherzo: Allegro vivace","Solo Piano","Paul Pitman","piano-midi.de","OP28",137
2359,"Beethoven","Piano Sonata No 15 in D major","4. Rondo: Allegro ma non troppo","Solo Piano","Paul Pitman","piano-midi.de","OP28",304
2364,"Beethoven","Piano Sonata No 15 in D major","4. Rondo: Allegro ma non troppo","Solo Piano","Karine Gilanyan","piano-midi.de","OP28",296
2365,"Beethoven","String Quartet No 12 in E-flat major","1. Maestoso - Allegro","String Quartet","Pascal String Quartet","suzumedia","OP127",402
2366,"Beethoven","String Quartet No 12 in E-flat major","2. Adagio, ma non troppo e molto cantabile","String Quartet","Pascal String Quartet","suzumedia","OP127",941
2368,"Beethoven","String Quartet No 12 in E-flat major","4. Allegro","String Quartet","Pascal String Quartet","suzumedia","OP127",434
2371,"Beethoven","Piano Sonata No 9 in E major","2. Allegretto","Solo Piano","Paul Pitman","piano-midi.de","OP14NO1",205
2372,"Beethoven","Piano Sonata No 9 in E major","3. Rondo - Allegro comodo","Solo Piano","Paul Pitman","piano-midi.de","OP14NO1",228
2373,"Beethoven","Piano Sonata No 19 in G minor","1. Andante","Solo Piano","Paul Pitman","piano-midi.de","OP49NO1",318
2374,"Beethoven","Piano Sonata No 19 in G minor","2. Rondo: Allegro","Solo Piano","Paul Pitman","piano-midi.de","OP49NO1",216
2376,"Beethoven","String Quartet No 8 in E minor","1. Allegro","String Quartet","European Archive","suzumedia","OP59NO2",581
2377,"Beethoven","String Quartet No 8 in E minor","2. Molto adagio","String Quartet","European Archive","suzumedia","OP59NO2",767
2379,"Beethoven","String Quartet No 8 in E minor","4. Finale, Presto, alla breve","String Quartet","European Archive","suzumedia","OP59NO2",334
2381,"Beethoven","String Quartet No 13 in B-flat major","1. Adagio, ma non troppo - Allegro","String Quartet","European Archive","suzumedia","OP130",560
2382,"Beethoven","String Quartet No 13 in B-flat major","2. Presto","String Quartet","European Archive","suzumedia","OP130",117
2383,"Beethoven","String Quartet No 13 in B-flat major","3. Andante con moto, ma non troppo. Poco scherzoso","String Quartet","European Archive","suzumedia","OP130",383
2384,"Beethoven","String Quartet No 13 in B-flat major","4. Alla danza tedesca. Allegro assai","String Quartet","European Archive","suzumedia","OP130",212
2388,"Beethoven","Piano Sonata No 17 in D minor","1. Largo - Allegro","Solo Piano","Paul Pitman","piano-midi.de","OP31NO2",473
